delay_ms,bandwidth_mbit,buffer_bytes,duration_s,rtt,rtt_variance,cwnd,ssthresh,rto,bytes_sent,bytes_acked,bytes_retrans,segs_out,segs_in,data_segs_out,unacked,lost,sacked,delivered,notsent,rcv_space,minrtt,pmtu,retrans_now,retrans_total,send_rate,pacing_rate,delivery_rate,last_send,expire_time,timer_retrans,data_segs_sent,retrans_diff,cwnd_roll5_mean,cwnd_roll5_std,cwnd_roll3_mean,rtt_roll5_mean,rtt_roll5_std,rtt_roll3_mean,cwnd_diff,rtt_diff,cwnd_accel,rtt_accel,cwnd_lag1,rtt_lag1,cwnd_lag2,rtt_lag2,run_min_cwnd,run_max_cwnd,run_min_rtt,run_max_rtt,run_min_ssthresh,run_max_ssthresh,retrans_ratio,ack_ratio,rtt_ratio,cwnd_util,cwnd_ewm,rtt_ewm,cwnd_rtt_interaction,send_efficiency,buffer_fill_ratio,retrans_burst,rtt_zscore,cwnd_volatility,congestion_signal,throughput,rtt_range,cwnd_range,bdp_estimate,label
30,10,18750,100,43.652,5.128,3,3,244,6043989,5062246,973056,4177,2741,4175,6,3,3,3501,205616,14480,30.0,1500,3,672,796000.0,1910000.0,659000.0,198,46,0,4175,672,3.0,0.0,3.0,43.652,0.0,43.652,0.0,0.0,0.0,0.0,3.0,43.652,3.0,43.652,3,3,43.652,43.652,3.0,3.0,0.16099566031639037,0.8375670438844279,1.4550666666666667,2.0,3.0,43.652,130.95600000000002,0.8375670438844279,47.333333333333336,672.0,-3.8864428733035314,0.0,1,1977000.0,0.0,0,37500.0,1
30,10,18750,100,56.354,13.661,2,2,257,40581,10174,17376,31,12,29,9,6,3,12,78192,14480,30.654,1500,2,12,411000.0,2220000.0,33700.0,141,116,0,0,0,2.5,0.7071067811865476,2.5,50.003,8.981670334631525,50.003,-1.0,12.701999999999998,-1.0,12.701999999999998,3.0,43.652,3.0,43.652,2,3,43.652,56.354,2.0,3.0,0.4281806756856657,0.25070845962396193,1.8383897696874796,4.5,2.4,51.273199999999996,112.708,0.25070845962396193,27.0,672.0,-1.7218497786825928,0.282842712474619,1,67400.0,12.701999999999998,1,37500.0,1
30,10,18750,100,57.512,14.752,2,2,258,118773,73886,37648,85,48,83,5,1,3,56,50680,14480,30.179,1500,1,26,403000.0,967000.0,589000.0,18,240,0,54,14,2.3333333333333335,0.5773502691896258,2.3333333333333335,52.506,7.689618195983464,52.506,0.0,1.1580000000000013,1.0,-11.543999999999997,2.0,56.354,3.0,43.652,2,3,43.652,57.512,2.0,3.0,0.3169743965379337,0.6220774081651553,1.9056960137844197,2.5,2.210526315789474,54.228421052631575,115.024,0.6220774081651553,17.5,686.0,-1.5245108711427526,0.24743582965269678,1,1178000.0,13.86,1,37500.0,1
30,10,18750,100,70.469,9.754,2,2,271,168005,118774,46336,119,71,117,2,0,0,84,62264,14480,30.179,1500,0,32,329000.0,395000.0,144000.0,12,131,0,34,6,2.25,0.5,2.0,56.99675,10.958443970290668,61.44499999999999,0.0,12.956999999999994,0.0,11.798999999999992,2.0,57.512,2.0,56.354,2,3,43.652,70.469,2.0,3.0,0.27580131543704056,0.7069670545519479,2.3350342953709533,1.0,2.123076923076923,60.97450769230768,140.938,0.7069670545519479,21.5,20.0,0.6835376823923986,0.2222222222222222,2,288000.0,26.816999999999993,1,37500.0,1
30,10,18750,100,68.102,9.405,2,2,269,231717,170902,57920,163,99,161,2,0,0,120,62264,14480,30.179,1500,0,40,340000.0,408000.0,324000.0,11,128,0,44,8,2.2,0.447213595499958,2.0,59.2178,10.711252783871734,65.361,0.0,-2.3669999999999902,0.0,-15.323999999999984,2.0,70.469,2.0,57.512,2,3,43.652,70.469,2.0,3.0,0.24996008061557848,0.7375462309627693,2.2566022731038142,1.0,2.075829383886256,63.71065402843601,136.204,0.7375462309627693,21.5,28.0,0.2801687755298776,0.20327890704543544,2,648000.0,26.816999999999993,1,37500.0,1
30,10,18750,100,62.761,16.304,1,2,263,285293,215790,66608,200,124,198,2,1,1,152,69504,14480,30.179,1500,1,46,185000.0,443000.0,138000.0,75,188,0,37,6,1.8,0.44721359549995804,1.6666666666666667,63.03960000000001,6.248061803471538,67.11066666666666,-1.0,-5.341000000000001,-1.0,-2.974000000000011,2.0,68.102,2.0,70.469,1,3,43.652,70.469,2.0,3.0,0.23347225483976122,0.7563802827268807,2.079624904735081,2.0,1.6827067669172935,63.36363759398497,62.761,0.7563802827268807,48.0,20.0,-0.6300100717674328,0.24845199749997668,2,138000.0,26.816999999999993,2,37500.0,1
30,10,18750,100,64.327,12.511,3,2,265,317149,240406,72400,222,140,220,3,0,0,168,95568,14480,30.179,1500,0,50,540000.0,648000.0,421000.0,1,130,0,22,4,2.0,0.7071067811865476,2.0,64.6342,5.009977814322136,65.06333333333333,2.0,1.5659999999999954,3.0,6.9069999999999965,1.0,62.761,2.0,68.102,1,3,43.652,70.469,2.0,3.0,0.22828386657375555,0.7580222545238988,2.1315152920905267,1.0,2.149101505585236,63.7047212238951,192.981,0.7580222545238988,22.0,18.0,-0.3631424299648521,0.3535533905932738,2,1263000.0,26.816999999999993,2,37500.0,0
30,10,18750,100,68.506,12.536,8,2,269,401133,314254,76744,280,179,278,7,0,0,219,68056,14480,30.179,1500,0,53,1350000.0,1620000.0,1060000.0,2,138,0,58,3,3.2,2.7748873851023212,4.0,66.833,3.181627178033282,65.198,5.0,4.179000000000002,3.0,2.6130000000000067,3.0,64.327,1.0,62.761,1,8,43.652,70.469,2.0,3.0,0.1913180915058098,0.7834159742529285,2.269989065244044,0.875,4.17858842188739,65.37012910388582,548.048,0.7834159742529285,5.875,13.0,0.3490158555351407,0.8671523078444754,2,8480000.0,26.816999999999993,7,37500.0,0
30,10,18750,100,64.548,16.145,2,2,265,498149,404030,91224,347,224,345,2,0,0,281,89776,14480,30.179,1500,0,63,359000.0,431000.0,354000.0,19,113,0,67,10,3.2,2.7748873851023212,4.333333333333333,65.64880000000001,2.523890191747661,65.79366666666667,-6.0,-3.9579999999999984,-11.0,-8.137,8.0,68.506,3.0,64.327,1,8,43.652,70.469,2.0,3.0,0.18312593220100815,0.8110625535733285,2.138838265018722,1.0,3.4329977570288452,65.08876720045905,129.096,0.8110625535733285,31.0,17.0,-0.3254810322391998,0.8671523078444754,2,708000.0,26.816999999999993,7,37500.0,1
30,10,18750,100,60.847,10.547,2,2,261,553173,446022,99912,385,251,383,5,1,3,313,95568,14480,30.179,1500,1,69,381000.0,914000.0,474000.0,1,260,0,38,6,3.2,2.7748873851023212,4.0,64.1978,2.8280812753526163,64.63366666666667,0.0,-3.7010000000000005,6.0,0.2569999999999979,2.0,64.548,8.0,68.506,1,8,43.652,70.469,2.0,3.0,0.18061619059498565,0.8062974874044828,2.0162033201895357,2.5,2.946902197328737,63.64989251184836,121.694,0.8062974874044828,33.0,19.0,-0.9561816339705882,0.8671523078444754,2,948000.0,26.816999999999993,7,37500.0,1
